ORIG_AMT,ORIG_TRM,NUM_BO,DTI,PROP_TYP,reperformance_flag,Loan.Age,FicoBkt,LAST_VAL,MLTV,Default_bin
62,360,1,35,CO,0,30,840,92.47784571,70,0
81,360,2,40,SF,0,23,780,108.3810386,75,0
110,360,2,30,SF,0,27,840,194.5769791,60,0
91,360,2,40,SF,0,17,700,161.4340703,60,0
106,360,2,30,SF,0,16,740,134.325444,80,0
253,360,2,60,SF,0,11,780,355.4390526,75,0
118,360,1,30,CO,0,25,700,143.5364103,85,0
95,360,1,55,SF,0,54,740,205.4375882,45,0
90,360,1,30,SF,0,20,780,145.6021572,65,0
80,360,2,20,SF,0,1,740,250.0,35,0
109,360,2,60,SF,0,5,660,127.2413604,90,1
77,360,1,20,SF,1,53,740,193.1590213,40,0
252,180,1,35,SF,0,21,780,344.8523077,70,0
195,360,2,45,SF,1,203,660,523.3639337,35,1
187,360,1,45,SF,0,12,700,215.5395575,85,0
105,180,2,65,SF,0,27,700,219.4966822,35,0
55,180,2,35,SF,0,34,840,65.35389936,75,0
182,360,2,40,SF,0,6,780,239.1460555,80,0
124,360,1,45,SF,0,34,700,155.5290777,80,0
69,360,2,65,SF,1,58,660,108.0327582,65,0
205,360,2,20,SF,0,9,780,277.5155355,75,0
132,360,2,30,SF,0,4,780,162.7807835,85,0
90,360,2,45,SF,0,205,840,137.2188083,45,1
42,360,2,45,SF,1,73,620,77.01424749,55,0
197,360,2,30,SF,0,23,780,245.5938496,80,0
204,360,2,65,SF,1,31,700,351.9171393,60,0
120,180,2,55,SF,0,14,780,395.9211315,30,0
50,180,1,35,SF,1,33,780,115.7005467,40,0
189,360,2,60,SF,0,25,700,248.7962556,75,0
204,360,2,25,SF,0,20,780,323.5498905,65,0
65,360,1,40,CO,1,62,620,101.2039381,65,0
235,360,2,35,SF,0,15,780,394.4617302,60,0
165,360,2,30,SF,0,21,780,261.6947643,65,0
198,360,1,50,SF,0,4,620,263.1901277,80,0
151,360,2,60,SF,0,46,700,332.4323102,45,0
207,360,2,45,SF,0,7,740,337.2275388,65,0
75,360,2,30,SF,0,24,780,215.7736958,35,0
161,360,2,40,SF,0,10,700,178.8609083,90,0
244,360,2,40,SF,0,3,740,320.8079017,80,0
95,360,2,45,SF,0,35,740,116.745162,80,0
253,360,2,25,SF,0,8,700,341.5462579,40,0
215,360,2,35,SF,0,16,700,290.8252517,75,0
250,360,2,55,SF,0,8,740,414.1497247,60,0
126,360,2,45,SF,0,15,700,170.7185293,75,0
150,180,2,20,SF,0,34,780,364.9367354,35,0
160,360,1,35,SF,1,30,660,231.4010933,70,0
100,360,1,20,SF,0,27,780,204.4393394,45,0
276,360,2,50,SF,0,16,780,587.1593603,50,0
15,240,1,45,SF,0,16,700,114.9059357,15,0
42,360,2,25,SF,0,60,740,105.6654656,40,0
160,360,1,30,SF,1,13,660,225.9044382,75,0
148,360,1,50,SF,0,7,740,164.0445185,95,0
119,360,2,30,SF,0,32,700,147.0037069,80,0
80,360,1,45,SF,0,18,740,108.4805561,75,0
48,360,1,35,SF,1,211,740,95.63966775,30,1
236,360,2,45,SF,0,10,780,310.9676912,80,0
151,360,1,35,SF,0,25,840,207.1490517,70,0
136,240,2,30,SF,0,14,700,177.5790366,75,0
28,360,1,20,SF,1,24,700,35.56901626,80,0
146,360,2,55,SF,0,23,700,198.449834,75,0
184,360,2,30,SF,0,5,740,244.3879989,80,0
252,180,2,15,SF,0,32,780,387.7344243,60,0
75,360,1,55,SF,0,12,840,273.7467643,30,0
55,360,1,60,SF,0,2,840,145.7494875,40,0
68,360,1,55,SF,0,39,780,85.37965868,80,0
30,360,1,45,SF,0,23,740,70.05928472,45,0
93,360,2,25,SF,0,25,840,214.7361369,45,0
133,360,2,35,SF,0,24,660,160.3881173,85,0
127,360,1,35,SF,1,24,660,175.4473485,75,0
113,360,2,25,SF,0,37,780,176.8030167,65,0
169,360,2,35,SF,0,5,660,207.9245086,85,0
98,360,2,35,SF,0,16,660,114.6587438,85,0
62,360,2,45,SF,1,42,620,92.1428217,70,0
120,360,2,15,SF,0,73,780,209.8005054,45,0
106,360,1,65,SF,0,8,740,129.3955678,85,0
162,360,2,60,SF,0,21,780,212.6216091,75,0
87,360,1,45,SF,1,24,780,139.6911164,65,0
140,360,2,30,SF,1,73,740,271.7809593,50,0
180,360,2,25,SF,0,23,840,286.2600802,65,0
83,360,1,20,SF,0,112,780,195.2339843,40,1
65,360,2,25,SF,0,6,780,379.5969135,20,0
110,360,1,40,CO,0,36,840,158.9061972,70,0
80,180,2,45,SF,0,13,780,241.5093824,35,0
138,360,2,15,SF,0,23,780,190.6435756,75,0
146,360,2,25,SF,1,15,740,267.7839132,55,0
214,360,2,45,SF,0,3,700,239.2667715,90,0
167,180,2,35,SF,0,22,780,397.3002331,40,0
72,180,2,35,SF,0,22,840,229.3171957,30,0
140,360,2,35,SF,0,6,740,167.73945,85,0
253,360,2,35,SF,0,12,740,543.8574893,50,0
140,360,2,65,SF,0,40,840,404.2480838,35,0
72,360,2,15,SF,0,63,700,106.3553365,65,0
124,360,2,60,SF,0,24,840,279.5960743,45,0
133,360,2,35,SF,0,20,740,183.4867328,65,0
139,360,2,40,SF,1,48,660,227.4576904,60,0
90,360,1,35,SF,0,14,780,105.1191453,85,0
39,360,2,35,CO,0,15,660,49.43696496,80,0
200,360,2,15,SF,0,20,780,412.3675075,50,0
120,180,2,65,SF,0,14,780,244.9960928,50,0
92,180,2,50,SF,1,33,700,156.3324954,55,0
138,360,2,35,SF,0,3,780,188.8852673,75,0
207,360,2,40,SF,0,19,660,249.505279,85,1
158,360,1,50,SF,0,38,740,282.8032185,55,0
189,360,2,30,SF,0,7,740,212.1462623,60,0
78,360,1,45,SF,0,23,740,90.33235702,90,0
120,360,1,45,SF,0,5,840,142.5798532,85,0
83,360,1,30,SF,1,43,660,104.417659,80,0
164,180,2,25,SF,0,10,660,222.0124284,75,0
109,360,1,45,SF,0,27,780,150.1316885,75,0
142,360,2,40,SF,0,14,780,196.1694763,75,0
25,180,1,35,SF,0,14,780,52.64942315,50,0
103,360,2,35,SF,0,28,700,145.3381603,70,0
150,360,1,50,SF,0,25,840,233.760521,65,0
130,360,1,40,SF,1,39,740,161.9748461,80,0
133,360,2,50,SF,0,12,660,189.6850408,70,0
253,360,1,40,CO,0,54,780,406.2770393,60,0
137,360,2,55,SF,1,3,660,197.3075287,70,0
128,180,1,40,SF,0,23,740,190.6667574,65,0
65,180,2,25,SF,0,28,780,145.9314525,35,0
100,360,2,15,SF,1,33,700,162.8632691,60,0
190,360,2,25,SF,0,38,740,294.5236039,65,0
72,360,1,40,SF,1,34,660,90.74635463,80,0
69,360,2,45,CO,0,30,840,174.3611891,40,0
65,360,1,35,SF,0,24,780,97.70830552,65,0
98,360,1,60,SF,0,37,740,120.4318514,80,0
74,360,2,30,SF,1,112,620,109.9351795,60,0
90,360,1,20,SF,0,8,740,145.6163183,65,0
117,360,2,30,SF,0,21,780,176.1191877,70,0
192,360,2,25,CO,0,7,840,252.4390046,80,0
170,360,1,20,SF,0,9,740,291.3461417,60,0
126,360,1,55,SF,0,9,780,145.7145719,90,0
163,360,2,30,SF,1,27,780,259.9290581,65,0
97,360,2,25,SF,0,37,740,173.7534359,55,0
32,360,1,20,CO,0,45,740,70.49361448,10,0
104,360,2,50,SF,0,7,700,137.3796925,80,0
95,360,2,15,CO,0,11,780,132.3296629,75,0
164,360,2,30,SF,0,26,660,368.8085684,45,0
75,240,2,40,SF,0,32,740,135.5496758,55,0
130,360,2,50,SF,0,21,780,150.8667192,90,0
245,360,2,35,SF,0,6,780,349.4835219,75,0
183,360,2,50,SF,0,6,620,231.682918,80,0
45,360,2,55,SF,0,59,840,118.0540929,40,0
227,360,2,40,SF,0,29,780,277.6903019,80,0
81,360,2,60,SF,0,23,740,94.13435801,85,0
134,360,1,55,SF,0,17,740,221.028984,65,0
45,180,1,55,SF,1,30,620,295.7286885,15,0
148,360,2,30,SF,0,22,740,174.7961569,85,0
193,360,1,50,SF,0,11,700,217.9936289,90,0
188,360,2,40,SF,0,37,700,310.555344,60,0
136,360,2,45,SF,0,10,700,181.2739633,75,0
116,360,2,45,SF,0,14,700,168.3984546,70,0
65,180,2,20,SF,0,24,840,141.7672391,45,0
100,360,2,35,SF,0,73,840,242.0833814,40,0
36,180,1,30,SF,0,21,700,67.73402528,50,0
86,360,1,40,SF,0,15,780,96.53216169,90,0
238,360,1,35,SF,0,20,840,269.7075896,90,0
189,360,1,35,SF,0,12,780,246.3720878,80,0
112,360,1,35,SF,1,58,660,185.1937395,60,0
171,360,2,30,SF,0,34,780,298.1219199,60,0
103,360,2,20,SF,0,6,700,135.3408995,80,0
56,360,1,55,SF,0,24,700,65.2202946,85,0
161,360,1,20,SF,0,41,700,241.0093755,65,0
225,360,1,45,SF,1,11,780,305.023206,75,0
156,360,2,65,SF,0,22,840,215.6851757,75,0
245,360,2,50,SF,0,13,620,412.8584722,60,0
80,360,2,25,SF,0,40,740,123.085589,65,0
90,360,2,30,SF,0,201,660,183.0707503,45,1
146,360,1,50,SF,0,18,740,177.5958974,85,0
125,360,2,20,SF,0,14,840,318.310191,40,0
126,180,2,15,CO,0,10,700,186.4579884,70,0
70,360,2,20,SF,0,24,780,216.4929414,35,0
226,180,1,45,SF,0,34,740,483.8458078,45,0
104,360,1,30,CO,0,30,840,147.5340335,70,0
100,360,2,40,SF,1,19,780,137.1848024,75,0
45,240,2,55,SF,0,33,740,56.12353095,80,0
164,360,2,30,SF,0,22,840,246.8519099,70,0
125,360,2,15,SF,0,12,740,166.6161948,75,0
83,180,2,20,SF,0,26,780,108.7539799,70,0
110,180,2,30,SF,0,15,780,160.506066,70,0
150,360,2,40,SF,0,14,700,201.0853876,75,0
189,360,2,45,SF,0,4,740,203.7275015,95,0
101,360,2,15,SF,0,9,740,132.773768,80,0
150,360,1,40,SF,1,160,620,234.6195323,55,0
197,360,2,40,SF,0,8,780,266.6856609,75,0
100,180,2,45,SF,0,6,700,321.7327854,35,0
175,360,2,40,SF,0,7,660,283.7829012,65,0
86,360,2,25,SF,0,21,700,96.17863735,90,0
56,360,1,25,SF,0,33,740,103.0450186,55,0
200,360,2,45,CO,1,14,780,358.5804413,60,0
110,360,2,15,SF,0,16,840,151.1439065,65,0
198,360,2,45,SF,0,13,700,231.510785,85,0
73,360,2,20,SF,0,25,840,92.08726968,80,0
55,120,1,30,SF,0,119,840,81.19765078,5,0
106,180,1,45,SF,0,31,740,215.6008426,45,0
71,180,2,40,SF,0,4,700,146.4734641,50,0
68,360,1,35,SF,0,34,780,103.2346331,65,0
138,360,1,40,SF,0,30,780,200.4651813,70,0
135,360,2,25,SF,0,19,840,289.7918552,50,0
